Name,Grade,Scale,Universe,JAPCODE,Series,Release_date,Cost(yen)
MG MS-18E Kampfer ,Master Grade,1/100,Universal Century,4543112003669,Mobile Suit Gundam 0080: War in the Pocket,01/2001,¥4320
BB214 Kihei Densetsu Knight Wing Gundam Zero ,Super Deformed,No Scale,Universal Century,4543112003676,SD Gundam Eiyusen,01/2001,¥500
SD MA-08 Byg-Zam ,Super Deformed,No Scale,Universal Century,4543112003683,Mobile Suit Gundam,01/2001,¥432
MG MS-07B-3 Gouf Custom ,Master Grade,1/100,Universal Century,4543112005670,Mobile Suit Gundam: The 08th MS Team,02/2001,¥3240
HGUC MSM-07S Char's Z'Gok ,High Grade,1/144,Universal Century,4543112005687,Mobile Suit Gundam,02/2001,¥756
SD New Type's Mobile Armor ,Super Deformed,No Scale,Universal Century,4543112005694,Mobile Suit Gundam,02/2001,¥432
MG MSN-100 Hyaku Shiki  ,Master Grade,1/100,Universal Century,4543112005847,Mobile Suit Zeta Gundam,3/1/2001,¥4860
BB215 Kihei Densetsu Musha Wing Gundam Zero ,Super Deformed,No Scale,Universal Century,4543112005854,SD Gundam Eiyusen,3/1/2001,¥500
MG ZGMF-X20A Strike Freedom Gundam Full Burst Mode ,Master Grade,1/100,Cosmic Era,4543112007414,Mobile Suit Gundam SEED,12/1/2006,¥7560
SD Master Gundam ,Super Deformed,No Scale,Future Century,4543112008862,Mobile Fighter G Gundam,3/1/2001,¥432
HGUC RGM-79 GM  ,High Grade,1/144,Universal Century,4543112017871,Mobile Suit Gundam,04/01/2001,¥756
MG RX-78 GP03S Gundam GP03 STAMEN  ,Master Grade,1/100,Universal Century,4543112017888,Mobile Suit Gundam 0083: Stardust Memory,04/01/2001,¥3780
SD PMX-003 The-O ,Super Deformed,No Scale,Universal Century,4543112017895,Mobile Suit Zeta Gundam,04/01/2001,¥864
SD Crossbone Gundam X1 ,Super Deformed,No Scale,Universal Century,4543112017901,Mobile Suit Crossbone Gundam,04/01/2001,¥432
SD Qubeley ,Super Deformed,No Scale,Universal Century,4543112024053,Mobile Suit Zeta Gundam,05/01/2001,¥432
HGUC RX-78-2 Gundam ,High Grade,1/144,Universal Century,4543112024077,Mobile Suit Gundam,05/01/2001,¥1080
HGUC MSN-02 Zeong ,High Grade,1/144,Universal Century,4543112033277,Mobile Suit Gundam,06/01/2001,¥1944
MG RGZ-91 Re-GZ ,Master Grade,1/100,Universal Century,4543112033284,Mobile Suit Gundam: Char's Counterattack,06/01/2001,¥4320
SD RX-178 Gundam Mk-II (Titans Color) ,Super Deformed,No Scale,Universal Century,4543112033291,Mobile Suit Zeta Gundam,06/01/2001,¥540
SD MS06-F Zaku II ,Super Deformed,No Scale,Universal Century,4543112033307,Mobile Suit Gundam,07/01/2001,¥540
MG RGM-79(G) GM Ground Type ,Master Grade,1/100,Universal Century,4543112039071,Mobile Suit Gundam: The 08th MS Team,07/01/2001,¥3240
SD Gundam Musha Maruden ,Super Deformed,No Scale,Universal Century,4543112039095,SD Gundam Musha Maruden,07/01/2001,¥540
HGUC MSA-0011 S-Gundam ,High Grade,1/144,Universal Century,4543112040206,Gundam Sentinel,08/01/2001,¥1944
MG AMX-004 Qubeley ,Master Grade,1/100,Universal Century,4543112040213,Mobile Suit Zeta Gundam,08/01/2001,¥4320
Tokimaru 03 ,Super Deformed,No Scale,Universal Century,4543112040220,SD Gundam Musha Maruden,07/01/2001,¥540
SD RX-75 Guntank ,Super Deformed,No Scale,Universal Century,4543112040237,Mobile Suit Gundam,08/01/2001,¥540
HGUC Gundam Operation V Set ,High Grade,1/144,Universal Century,4543112040305,Mobile Suit Gundam,08/01/2001,¥2808
SD Qubeley Triple Collection ,Super Deformed,No Scale,Universal Century,4543112040312,Mobile Suit Gundam ZZ,08/01/2001,¥2160
HGUC RMS-141 Xekueins ,High Grade,1/144,Universal Century,4543112052650,Gundam Sentinel,10/1/2001,¥1728
MG FA-010A Fazz  ,Master Grade,1/100,Universal Century,4543112052667,Gundam Sentinel,09/01/2001,¥6480
Gundam Blue Destiny (SD)  ,Super Deformed,No Scale,SD,4543112052674,Mobile Suit Gundam Gaiden,09/01/2001,¥432
Hyaku Shiki & Mega Bazooka Launcher (SD)  ,Super Deformed,No Scale,Universal Century,4543112052681,Mobile Suit Zeta Gundam,10/1/2001,¥864
Yoroimaru ,Super Deformed,No Scale,SD,4543112052698,SD Gundam Musha Maruden,10/1/2001,¥540
MG MSZ-006A1 Zeta Plus Test Color Type ,Master Grade,1/100,Universal Century,4543112055699,Gundam Sentinel,10/1/2001,¥3240
MG GF13-017NJ II God Gundam  ,Master Grade,1/100,Future Century,4543112060426,Mobile Fighter G Gundam,11/1/2001,¥2700
AMA-X2 Neue-Ziel (SD)  ,Super Deformed,No Scale,Universal Century,4543112060433,Mobile Suit Gundam 0083: Stardust Memory,11/1/2001,¥864
RX-77-2 Gun Cannon (SD)  ,Super Deformed,No Scale,Universal Century,4543112060440,Mobile Suit Gundam,11/1/2001,¥540
